date,symbol,open,close,low,high,volume
05-01-2010,ANTM,60.59,60.400002,60.169998,61.25,8385500
05-01-2010,AON,37.720001,37.700001,37.509998,37.849998,4986100
05-01-2010,APA,105.980003,107.120003,105.239998,107.160004,2464500
05-01-2010,APC,65.160004,66.559998,64.739998,66.800003,4087500
05-01-2010,APD,82.900002,82.47,81.899999,83.16,790100
05-01-2010,APH,45.869999,44.98,44.84,46.099998,2705400
05-01-2010,ARNC,16.830013,16.130013,16.030013,16.850014,22201000
05-01-2010,ATVI,11.24,11.32,11.21,11.36,11366100
05-01-2010,AVB,81.220001,80.589996,79.760002,81.419998,1341000
05-01-2010,AVGO,18.950001,19.0,18.1,19.24,301100
05-01-2010,AVY,38.459999,37.09,36.330002,38.470001,2708800
05-01-2010,AWK,22.67,22.879999,22.59,22.91,1843600
05-01-2010,AXP,40.830002,40.830002,40.369999,41.23,10641200
05-01-2010,AYI,35.860001,36.330002,35.830002,36.5,700000
05-01-2010,AZO,158.649994,156.710007,152.320007,158.649994,1224700
05-01-2010,BA,56.25,58.02,56.0,58.279999,8867800
05-01-2010,BAC,15.74,16.200001,15.7,16.209999,209521300
05-01-2010,BAX,58.309999,57.889997,57.709998,58.309999,5993700
05-01-2010,BBBY,39.07,38.669998,38.400002,39.110001,4406600
05-01-2010,BBT,25.709999,26.18,25.59,26.219999,7023400
05-01-2010,BBY,40.540001,41.209999,40.5,41.5,6979200
05-01-2010,BCR,78.5,79.349998,78.459999,79.419998,1093600
05-01-2010,BDX,78.400002,77.870003,77.769997,78.720001,1122200
05-01-2010,BEN,107.619999,108.839996,107.399998,109.009998,3276600
05-01-2010,BHI,41.43,43.66,41.240002,43.82,10663400
05-01-2010,BIIB,54.720001,53.380001,53.0,55.0,4899400
05-01-2010,BK,27.950001,28.59,27.75,28.639999,7189300
05-01-2010,BLK,239.050003,239.610001,236.759995,239.669998,198800
05-01-2010,BLL,52.330002,51.900002,51.75,52.380001,1526800
05-01-2010,BMY,25.51,25.23,25.01,25.549999,16973600
05-01-2010,BSX,8.99,9.04,8.94,9.1,8594200
05-01-2010,BWA,33.779999,35.389999,33.73,35.540001,2654000
05-01-2010,BXP,67.239998,68.120003,66.449997,68.199997,2173700
05-01-2010,C,3.42,3.53,3.41,3.55,66861700
05-01-2010,CA,22.67,22.91,22.610001,23.09,3437400
05-01-2010,CAG,23.12,23.209998,22.95,23.55,5517100
05-01-2010,CAH,32.419998,32.240002,32.150002,32.599998,3023700
05-01-2010,CAT,58.549999,59.25,58.23,59.439999,5697200
05-01-2010,CB,48.619999,48.16,47.689999,49.060001,9280400
05-01-2010,CBG,13.93,14.15,13.7,14.15,4510400
05-01-2010,CBS,14.18,14.18,14.05,14.38,5441000
05-01-2010,CCI,39.759998,39.990002,39.630001,40.490002,2116000
05-01-2010,CCL,32.279999,32.369999,32.200001,32.540001,3199900
05-01-2010,CELG,55.509998,55.09,54.599998,55.73,6705800
05-01-2010,CERN,85.419998,89.25,85.0,89.379997,7324400
05-01-2010,CF,92.209997,93.330002,92.159996,94.34,6662500
05-01-2010,CHD,61.200001,60.509998,60.049999,61.700001,1936000
05-01-2010,CHK,28.3,28.970002,28.200001,29.120002,28692600
05-01-2010,CHRW,59.18,58.110001,57.389999,59.490002,2352700
05-01-2010,CHTR,35.0,35.0,35.0,35.0,10000
05-01-2010,CI,36.419998,36.98,35.990002,37.5,4564300
05-01-2010,CINF,26.43,26.51,26.290001,26.540001,1412800
05-01-2010,CL,82.610001,83.519997,81.959999,83.669998,5296800
05-01-2010,CLX,61.27,62.099998,60.73,62.790001,3386900
05-01-2010,CMA,30.41,30.610001,30.209999,30.73,1336700
05-01-2010,CMCSA,16.93,16.74,16.549999,16.98,17746500
05-01-2010,CME,340.429993,342.130013,337.939987,344.280014,2835000
05-01-2010,CMG,87.519997,89.019997,87.110001,90.0,511000
05-01-2010,CMI,47.25,48.049999,46.959999,48.18,1592300
05-01-2010,CMS,15.89,15.74,15.64,15.89,4288600
05-01-2010,CNC,21.74,21.01,20.99,21.799999,848800
05-01-2010,CNP,14.56,14.41,14.29,14.61,4227100
05-01-2010,COF,39.630001,40.59,39.619999,40.630001,8029400
05-01-2010,COG,45.419998,46.169998,44.849998,46.25,6313200
05-01-2010,COH,36.34,36.75,35.889999,37.279999,3223400
05-01-2010,COL,56.07,56.360001,55.959999,56.639999,515200
05-01-2010,COO,37.52,38.189999,37.48,38.209999,310900
05-01-2010,COP,52.64996,52.629959,52.209961,52.769958,10084500
05-01-2010,COST,59.259998,59.23,58.84,59.419998,2775800
05-01-2010,CPB,33.919998,33.93,33.599998,34.169998,2497100
05-01-2010,CRM,74.449997,74.5,72.800003,75.0,7942400
05-01-2010,CSCO,24.6,24.58,24.379999,24.73,45124500
05-01-2010,CSX,48.979998,50.150002,48.810001,50.25,11971200
05-01-2010,CTAS,26.309999,26.35,26.139999,26.370001,1455600
05-01-2010,CTL,36.759998,36.720001,36.689999,36.990002,3450100
05-01-2010,CTSH,46.82,47.330002,46.27,47.650002,8993400
05-01-2010,CTXS,42.779999,42.869999,42.459999,42.919998,2149700
05-01-2010,CVS,32.93,32.849998,32.66,33.029999,7512000
05-01-2010,CVX,79.220001,79.620003,78.720001,79.620003,10593700
05-01-2010,CXO,45.91,45.73,44.66,46.66,1200700
05-01-2010,D,38.860001,38.48,38.080002,39.02,2802200
05-01-2010,DAL,11.32,12.1,11.29,12.34,25066000
05-01-2010,DD,34.349999,33.929998,33.54,34.449999,9206100
05-01-2010,DE,56.189999,55.849998,55.599998,56.560001,3007400
05-01-2010,DFS,14.8,15.1,14.65,15.16,7766400
